,loading_comp1_estimate,loading_comp1_68%_low,loading_comp1_68%_upper,loading_comp1_95%_low,loading_comp1_95%_upper,loading_comp1_99%_low,loading_comp1_99%_upper,loading_comp1_99.7%_low,loading_comp1_99.7%_upper,loading_comp1_consistency
stren_L-FP,-0.2002877105801923,-0.21871879600234728,-0.146698308896266,-0.24172213504660606,-0.07167779280724768,-0.2551348650865709,0.006756019832976929,-0.26810618825045784,0.0491695116424479,0.5986
stren_L-TP,-0.14994915879133988,-0.16894804837465494,-0.10441948970651478,-0.20330772166183947,-0.06950805187218687,-0.2271437069823592,-0.039242586528341394,-0.25154915700815994,-0.020989958304104623,0.993
stren_L-TTG,0.010554030564225606,-0.031877721212695755,0.05220603259448822,-0.07058523717410747,0.09854900297059879,-0.09426870787973236,0.12728287269137803,-0.11180830106680045,0.14740044889573664,0.2018
stren_L-IN,0.5421198193612875,0.454456422376152,0.5458291440880044,0.3493903597830849,0.5816738165062788,0.20118908898446944,0.5996801385506157,0.09746437394821116,0.6042065911461926,0.9988
stren_L-CER,0.1921995546165236,0.10314994758067954,0.2561014208554332,0.03555532128947639,0.3266433526975156,-0.006591087818095539,0.36250102609041057,-0.04692307804118957,0.3850062169489374,0.7944
stren_L-TH,0.2263478916941226,0.10829578050998798,0.3189452323310059,0.017520954883984228,0.43521976359618986,-0.03604843212767561,0.5096285903951135,-0.07190497060775874,0.5395931959159619,0.9888
stren_L-CA,0.44739163870205106,0.34558279834117656,0.49007871584460544,0.2719766125418876,0.5538819910807496,0.22497119978778554,0.5853848501157556,0.17875618458097792,0.6028642463363366,0.9954
stren_L-PU,0.6225450056288004,0.5206912754951795,0.6258927173347008,0.42018447681114207,0.6645100507025541,0.22755176630524943,0.6846918164016997,0.14718914194000762,0.6948715864429442,0.9992
stren_L-PA,0.24857726465621416,0.18724156397221778,0.2722158932080335,0.12844622454916146,0.31095103128588,0.04903635222125007,0.3385564836742856,-0.003596617481695354,0.3473782005804867,0.7866
stren_L-HI,0.4429871251248291,0.34012845348887333,0.47796680923153795,0.190456236175504,0.521241864572357,-0.013404449321186965,0.5468924593471254,-0.1275473444908817,0.5592682920517636,0.8602
stren_L-AM,0.4015988644163338,0.2933354619028764,0.44223139276236595,0.12181197466094808,0.489072549287204,-0.11540413279800196,0.509288994269215,-0.2334089442544757,0.5239369600656362,0.699
stren_L-AC,0.275803512581026,0.21508855846912076,0.28998697104144244,0.1438274707244665,0.32013983518680494,0.05053628765038817,0.33633524035729645,-0.028352167254637028,0.3506927398910984,0.9368
stren_R-TH,0.2739537308910893,0.14965297553031173,0.3626384460644187,0.06256945578820826,0.47579268189907686,-0.0027279405997943586,0.5426856202847462,-0.039081230915819394,0.5834391890668288,0.9978
stren_R-CA,0.45744285840875315,0.35574396475976583,0.4964096296995755,0.2843894635876323,0.5559092847754386,0.2307697914237114,0.5865206961640189,0.17053207314056465,0.6077230339788285,0.9986
stren_R-PU,0.6469810318571357,0.5451302628709043,0.6446163193339901,0.4365223810216527,0.6773647261080021,0.2241238013662377,0.6946159706453299,0.1403831935958692,0.7034232499014569,1.0
stren_R-PA,0.3147364090570412,0.24957882599324743,0.33244222395565326,0.1826877691804499,0.3667691247352239,0.08567811075139897,0.38993353593771235,0.01901394536838291,0.401439225729128,0.8832
stren_R-HI,0.5585017600529685,0.44789614970402164,0.5810798628193428,0.28717712026921743,0.6225134603956728,0.038615302128106564,0.6407410372329214,-0.11358118873855136,0.650282670213002,0.9888
stren_R-AM,0.47883600960966977,0.3636060774156527,0.5145587133686298,0.18597795578701715,0.558661838656886,-0.08805471461094418,0.5793994471548214,-0.23575845598210668,0.5912546954248811,0.914
stren_R-AC,0.2929050646725309,0.23039663618606718,0.30291048532538595,0.17642037432618254,0.3330068104972693,0.08814696928595757,0.34954497955577274,0.043820570796503824,0.35927999636471586,0.9836
stren_R-BSTS,-0.17351402319303666,-0.20566140702924357,-0.10718945800118024,-0.23747496151745387,-0.021937048319417292,-0.25543492246715044,0.07310009165409036,-0.273057827715924,0.1403880779782581,0.2262
